idx,num_wrappings,a,s,d,f,g,h,j,k
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
26.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
30.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
8.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
36.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
44.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
50.0,3.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
8.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
44.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
32.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
34.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
18.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
38.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
40.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
2.0,1.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
26.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
46.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
8.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
22.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,1.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
48.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
34.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
50.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
34.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
50.0,3.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
8.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
2.0,1.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
44.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
50.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
22.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
32.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
22.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
22.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
36.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
26.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
22.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
50.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
26.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
46.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
22.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
50.0,3.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
44.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
42.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
36.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
30.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
42.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
38.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
28.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
22.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
36.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
48.0,1.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
8.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
8.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
36.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
38.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
46.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
50.0,3.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
24.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
26.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
50.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
14.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
6.0,1.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
16.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
10.0,0.0,1,-1,-1,-1,-1.0,-1.0,-1,-1.0
